Business Name,Phone Number,Website,Address,Typical Job Cost,Followers,URL,State,City,Country,Zip Code
Cassy Young Decorating Den Interiors Athens GA,(706) 540-8925,Cassy.DecoratingDen.com,"184 Ben Burton Circle Athens, Georgia 30622 United States","$5,000 - 55,000 Read More",97 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/cassyyoungdecden/cassy-young-decorating-den-interiors-athens-ga,Georgia,Athens,United States,30622
S. Mazzi Interiors,(404) 500-8707,s-mazzi.com/,"Atlanta, Georgia 30305 United States","$20,000 - 300,000",76 Followers Follow Socials Find me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/tsandie/s-mazzi-interiors,Georgia,Atlanta,United States,30305
A Curated Room,(912) 398-3073,www.acuratedroom.com,"1781 S Gordon St SW Atlanta, Georgia 30310 United States","$40,000 - 500,000 Read More",,https://www.houzz.com/pro/acuratedroom/a-curated-room,Georgia,Atlanta,United States,30310
"The Creative Peach Studios, Inc.",(240) 485-4195,www.thecreativepeachstudios.com,"Atlanta, Georgia 30328 United States","$15,000 - 25,000",3 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/webuser-796413588/the-creative-peach-studios-inc,Georgia,Atlanta,United States,30328
Norwood Interior Designs,(404) 944-0223,,"Dacula, Georgia 30019 United States","$10,000 - 80,000 Read More Socials Find me on Facebook",,https://www.houzz.com/pro/nidesigns/norwood-interior-designs,Georgia,Dacula,United States,30019
Lori Whitaker-Noel,(678) 629-7789,www.b4design.net/,"Smyrna, Georgia 30080 United States","$7,500 - 500,000 License Number OCC018230",32 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/lorinoel53/lori-whitaker-noel,Georgia,Smyrna,United States,30080
The Consulting House Inc,(404) 495-3768,consultinghouseinc.com,"3221 West Andrews Dr Atlanta, Georgia 30305 United States","$50,000 - 2.5 million",389 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/ellislane/the-consulting-house-inc,Georgia,Atlanta,United States,30305
Simone Alisa,(404) 867-8408,www.btdtdesign.com,"Midtown Atlanta, Georgia 30308 United States","$25,000 - 1 million Read More",577 Followers Follow,https://www.houzz.com/pro/simone-alisa/simone-alisa,Georgia,Midtown Atlanta,United States,30308
Jemm Interiors,(310) 427-5404,linktr.ee/jemminterior,"Sandy Springs, Georgia 30328 United States","$10,000 - 200,000",92 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/jemminteriors/jemm-interiors,Georgia,Sandy Springs,United States,30328
Regas Interiors,(404) 334-5435,regasinteriors.com,"351 Peachtree Hills Avenue Suite 503 F Atlanta, Georgia 30305 United States","$20,000 - $500,000",473 Followers Follow,https://www.houzz.com/pro/kimregas/regas-interiors,Georgia,Atlanta,United States,30305
Gina Sims Designs,(615) 554-0691,www.ginasimsdesigns.com,"Decatur, Georgia 30032 United States",,190 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/ginadesigns/gina-sims-designs,Georgia,Decatur,United States,30032
